sku,store,attribute_set,type,categories,created_at,description,glass_color,glass_cutouts,glass_height,glass_thickness,glass_width,handle_style,hardware_depth,hardware_finish,hardware_length,hardware_orientation,has_options,hinge_orientation,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,options_container,page_layout,panel_count,panel_type,price,required_options,seal_color,seal_length,seal_type,short_description,shower_depth_max,shower_depth_min,shower_layout,shower_length_max,shower_length_min,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image
PRO-A34,default,Shower Glass,simple,Shower Glass/A Panels,2015-04-08T12:17:34-07:00,34  Shower Door - A Panel,Clear,Hinges & Handle,71.5,0.375,34,,,,,,0,,,,,,,,,,,Use config,Use config,34  Shower Door - A Panel,,Product Info Column,,,A Panel,429,0,,,,34  Shower Door - A Panel,,,,,,,,,,,Enabled,Taxable Goods,,,4/8/2015 19:17:34,34-shower-door-a-panel,34-shower-door-a-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-A35,default,Shower Glass,simple,Shower Glass/A Panels,2015-08-04T12:17:34-07:00,35 Shower Door - A Panel,Clear,Hinges & Handle,71.5,0.375,35,,,,,,0,,no_selection,,,,,,,,,Use config,Use config,35 Shower Door - A Panel,,Product Info Column,,,A Panel,435,0,,,,35 Shower Door - A Panel,,,,,,no_selection,,,,,Enabled,Taxable Goods,no_selection,,4/10/2015 18:50:56,35-shower-door-a-panel,35-shower-door-a-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-B8,default,Shower Glass,simple,Shower Glass/B Panels,2015-04-08T12:17:34-07:00,8 Shower Glass - B Panel,Clear,Hinges,72,0.375,8,,,,,,0,,,,,,,,,,,Use config,Use config,8 Shower Glass - B Panel,,Product Info Column,,,B Panel,165,0,,,,8 Shower Glass - B Panel,,,,,,,,,,,Enabled,Taxable Goods,,,4/8/2015 19:17:34,8-shower-glass-c-panel,8-shower-glass-c-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-B9,default,Shower Glass,simple,Shower Glass/B Panels,2015-04-08T12:17:34-07:00,9 Shower Glass - B Panel,Clear,Hinges,72,0.375,9,,,,,,0,,,,,,,,,,,Use config,Use config,9 Shower Glass - B Panel,,Product Info Column,,,B Panel,175,0,,,,9 Shower Glass - B Panel,,,,,,,,,,,Enabled,Taxable Goods,,,4/8/2015 19:17:34,9-shower-glass-b-panel,9-shower-glass-b-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-B10,default,Shower Glass,simple,Shower Glass/B Panels,2015-04-08T12:17:34-07:00,10 Shower Glass - B Panel,Clear,Hinges,72,0.375,10,,,,,,0,,,,,,,,,,,Use config,Use config,10 Shower Glass - B Panel,,Product Info Column,,,B Panel,179,0,,,,10 Shower Glass - B Panel,,,,,,,,,,,Enabled,Taxable Goods,,,4/8/2015 19:17:34,10-shower-glass-b-panel,10-shower-glass-b-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-B12,default,Shower Glass,simple,Shower Glass/B Panels,2015-04-08T12:17:34-07:00,12  Shower Glass - B Panel,Clear,Hinges,72,0.375,12,,,,,,0,,,,,,,,,,,Use config,Use config,12 Shower Glass - B Panel,,Product Info Column,,,B Panel,189,0,,,,12 Shower Glass - B Panel,,,,,,,,,,,Enabled,Taxable Goods,,,4/8/2015 19:17:34,12-shower-glass-b-panel,12-shower-glass-b-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-B13,default,Shower Glass,simple,Shower Glass/B Panels,2015-04-08T12:17:34-07:00,13 Shower Glass - B Panel,Clear,Hinges,72,0.375,13,,,,,,0,,,,,,,,,,,Use config,Use config,13 Shower Glass - B Panel,,Product Info Column,,,B Panel,199,0,,,,13 Shower Glass - B Panel,,,,,,,,,,,Enabled,Taxable Goods,,,4/8/2015 19:17:34,13-shower-glass-b-panel,13-shower-glass-b-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-B15,default,Shower Glass,simple,Shower Glass/B Panels,2015-08-04T12:17:34-07:00,15 Shower Glass - B Panel,Clear,Hinges,72,0.375,15,,,,,,0,,no_selection,,,,,,,,,Use config,Use config,15 Shower Glass - B Panel,,Product Info Column,,,B Panel,215,0,,,,15 Shower Glass - B Panel,,,,,,no_selection,,,,,Enabled,Taxable Goods,no_selection,,4/10/2015 21:41:24,15-shower-glass-b-panel,15-shower-glass-b-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-C8,default,Shower Glass,simple,Shower Glass/C Panels,2015-04-08T12:17:34-07:00,8 Shower Glass - C Panel,Clear,None,72,0.375,8,,,,,,0,,,,,,,,,,,Use config,Use config,8 Shower Glass - C Panel,,Product Info Column,,,C Panel,159,0,,,,8 Shower Glass - C Panel,,,,,,,,,,,Enabled,Taxable Goods,,,4/8/2015 19:17:34,8-shower-glass-c-panel,8-shower-glass-c-panel-20.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-C9,default,Shower Glass,simple,Shower Glass/C Panels,2015-04-08T12:17:34-07:00,9 Shower Glass - C Panel,Clear,None,72,0.375,9,,,,,,0,,,,,,,,,,,Use config,Use config,9 Shower Glass - C Panel,,Product Info Column,,,C Panel,169,0,,,,9 Shower Glass - C Panel,,,,,,,,,,,Enabled,Taxable Goods,,,4/8/2015 19:17:34,9-shower-glass-c-panel,9-shower-glass-c-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-C10,default,Shower Glass,simple,Shower Glass/C Panels,2015-04-08T12:17:34-07:00,10 Shower Glass - C Panel,Clear,None,72,0.375,10,,,,,,0,,,,,,,,,,,Use config,Use config,10 Shower Glass - C Panel,,Product Info Column,,,C Panel,174,0,,,,10 Shower Glass - C Panel,,,,,,,,,,,Enabled,Taxable Goods,,,4/8/2015 19:17:34,10-shower-glass-c-panel,10-shower-glass-c-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-C12,default,Shower Glass,simple,Shower Glass/C Panels,2015-04-08T12:17:34-07:00,12 Shower Glass - C Panel,Clear,None,72,0.375,12,,,,,,0,,,,,,,,,,,Use config,Use config,12 Shower Glass - C Panel,,Product Info Column,,,C Panel,182,0,,,,12 Shower Glass - C Panel,,,,,,,,,,,Enabled,Taxable Goods,,,4/8/2015 19:17:34,12-shower-glass-c-panel,12-shower-glass-c-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-C15,default,Shower Glass,simple,Shower Glass/C Panels,2015-04-08T12:17:34-07:00,15 Shower Glass - C Panel,Clear,None,72,0.375,15,,,,,,0,,,,,,,,,,,Use config,Use config,15 Shower Glass - C Panel,,Product Info Column,,,C Panel,205,0,,,,15 Shower Glass - C Panel,,,,,,,,,,,Enabled,Taxable Goods,,,4/8/2015 19:17:34,15-shower-glass-c-panel,15-shower-glass-c-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-C17,default,Shower Glass,simple,Shower Glass/C Panels,2015-04-08T12:17:34-07:00,17 Shower Glass - C Panel,Clear,None,72,0.375,17,,,,,,0,,,,,,,,,,,Use config,Use config,17 Shower Glass - C Panel,,Product Info Column,,,C Panel,225,0,,,,17 Shower Glass - C Panel,,,,,,,,,,,Enabled,Taxable Goods,,,4/8/2015 19:17:34,17-shower-glass-c-panel,17-shower-glass-c-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-C20,default,Shower Glass,simple,Shower Glass/C Panels,2015-04-08T12:17:34-07:00,20 Shower Glass - C Panel,Clear,None,72,0.375,20,,,,,,0,,,,,,,,,,,Use config,Use config,20 Shower Glass - C Panel,,Product Info Column,,,C Panel,239,0,,,,20 Shower Glass - C Panel,,,,,,,,,,,Enabled,Taxable Goods,,,4/8/2015 19:17:34,20-shower-glass-c-panel,20-shower-glass-c-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-C24,default,Shower Glass,simple,Shower Glass/C Panels,2015-04-08T12:17:34-07:00,24 Shower Glass - C Panel,Clear,None,72,0.375,24,,,,,,0,,,,,,,,,,,Use config,Use config,24 Shower Glass - C Panel,,Product Info Column,,,C Panel,259,0,,,,24 Shower Glass - C Panel,,,,,,,,,,,Enabled,Taxable Goods,,,4/8/2015 19:17:34,24-shower-glass-c-panel,24-shower-glass-c-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-C26,default,Shower Glass,simple,Shower Glass/C Panels,2015-04-08T12:17:34-07:00,26 Shower Glass - C Panel,Clear,None,72,0.375,26,,,,,,0,,,,,,,,,,,Use config,Use config,26 Shower Glass - C Panel,,Product Info Column,,,C Panel,259,0,,,,26 Shower Glass - C Panel,,,,,,,,,,,Enabled,Taxable Goods,,,4/8/2015 19:17:34,26-shower-glass-c-panel,26-shower-glass-c-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-C27.5,default,Shower Glass,simple,Shower Glass/C Panels,2015-04-08T12:17:34-07:00,27.5 Shower Glass - C Panel,Clear,None,72,0.375,27.5,,,,,,0,,,,,,,,,,,Use config,Use config,27.5 Shower Glass - C Panel,,Product Info Column,,,C Panel,269,0,,,,27.5 Shower Glass - C Panel,,,,,,,,,,,Enabled,Taxable Goods,,,4/8/2015 19:17:34,275-shower-glass-c-panel,275-shower-glass-c-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-C29,default,Shower Glass,simple,Shower Glass/C Panels,2015-04-08T12:17:34-07:00,29 Shower Glass - C Panel,Clear,None,72,0.375,29,,,,,,0,,,,,,,,,,,Use config,Use config,29 Shower Glass - C Panel,,Product Info Column,,,C Panel,279,0,,,,29 Shower Glass - C Panel,,,,,,,,,,,Enabled,Taxable Goods,,,4/8/2015 19:17:34,29-shower-glass-c-panel,29-shower-glass-c-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-C32,default,Shower Glass,simple,Shower Glass/C Panels,2015-04-08T12:17:34-07:00,32 Shower Glass - C Panel,Clear,None,72,0.375,32,,,,,,0,,,,,,,,,,,Use config,Use config,32 Shower Glass - C Panel,,Product Info Column,,,C Panel,299,0,,,,32 Shower Glass - C Panel,,,,,,,,,,,Enabled,Taxable Goods,,,4/8/2015 19:17:34,32-shower-glass-c-panel,32-shower-glass-c-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-C33,default,Shower Glass,simple,Shower Glass/C Panels,2015-04-08T12:17:34-07:00,33 Shower Glass - C Panel,Clear,None,72,0.375,33,,,,,,0,,,,,,,,,,,Use config,Use config,33 Shower Glass - C Panel,,Product Info Column,,,C Panel,309,0,,,,33 Shower Glass - C Panel,,,,,,,,,,,Enabled,Taxable Goods,,,4/8/2015 19:17:34,33-shower-glass-c-panel,33-shower-glass-c-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-C34,default,Shower Glass,simple,Shower Glass/C Panels,2015-04-08T12:17:34-07:00,34 Shower Glass - C Panel,Clear,None,72,0.375,34,,,,,,0,,,,,,,,,,,Use config,Use config,34 Shower Glass - C Panel,,Product Info Column,,,C Panel,319,0,,,,34 Shower Glass - C Panel,,,,,,,,,,,Enabled,Taxable Goods,,,4/8/2015 19:17:34,34-shower-glass-c-panel,34-shower-glass-c-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-C35,default,Shower Glass,simple,Shower Glass/C Panels,2015-04-08T12:17:34-07:00,35 Shower Glass - C Panel,Clear,None,72,0.375,35,,,,,,0,,,,,,,,,,,Use config,Use config,35 Shower Glass - C Panel,,Product Info Column,,,C Panel,325,0,,,,35 Shower Glass - C Panel,,,,,,,,,,,Enabled,Taxable Goods,,,4/8/2015 19:17:34,35-shower-glass-c-panel,35-shower-glass-c-panel.html,"Catalog, Search",58,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-HAN-001-BN,default,Shower Handles,simple,Shower Hardware/Handles,2015-08-04T05:48:08-07:00,Shower Door Handle - Brushed Nickel - Oval,,,,,,Oval,,Brushed Nickel,,,0,,no_selection,,,,,,,,,,Use config,Shower Door Handle - Brushed Nickel - Oval,,Product Info Column,,,,39.5,0,,,,Shower Door Handle - Brushed Nickel - Oval,,,,,,no_selection,,,,,Enabled,Taxable Goods,no_selection,,4/13/2015 21:44:02,shower-door-handle-brushed-nickel-oval,shower-door-handle-brushed-nickel-oval.html,"Catalog, Search",5,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-HAN-001-CH,default,Shower Handles,simple,Shower Hardware/Handles,2015-08-04T05:49:45-07:00,Shower Door Handle - Chrome - Oval,,,,,,Oval,,Chrome,,,0,,no_selection,,,,,,,,,,Use config,Shower Door Handle - Chrome - Oval,,Product Info Column,,,,49,0,,,,Shower Door Handle - Chrome - Oval,,,,,,no_selection,,,,,Enabled,Taxable Goods,no_selection,,4/13/2015 21:44:02,shower-door-handle-chrome-oval,shower-door-handle-chrome-oval.html,"Catalog, Search",5,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-HAN-001-ORB,default,Shower Handles,simple,Shower Hardware/Handles,2015-08-04T05:50:52-07:00,Shower Door Handle - Oil Rubbed Bronze - Oval,,,,,,Oval,,Oil Rubbed Bronze,,,0,,no_selection,,,,,,,,,,Use config,Shower Door Handle - Oil Rubbed Bronze - Oval,,Product Info Column,,,,59.25,0,,,,Shower Door Handle - Oil Rubbed Bronze - Oval,,,,,,no_selection,,,,,Enabled,Taxable Goods,no_selection,,4/13/2015 21:44:02,shower-door-handle-oil-rubbed-bronze-oval,shower-door-handle-oil-rubbed-bronze-oval.html,"Catalog, Search",5,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-HAN-002-BN,default,Shower Handles,simple,Shower Hardware/Handles,2015-08-04T05:51:45-07:00,Shower Door Handle - Brushed Nickel - Square,,,,,,Square,,Brushed Nickel,,,0,,no_selection,,,,,,,,,,Use config,Shower Door Handle - Brushed Nickel - Square,,Product Info Column,,,,49,0,,,,Shower Door Handle - Brushed Nickel - Square,,,,,,no_selection,,,,,Enabled,Taxable Goods,no_selection,,4/13/2015 21:44:02,shower-door-handle-brushed-nickel-square,shower-door-handle-brushed-nickel-square.html,"Catalog, Search",5,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-HAN-002-CH,default,Shower Handles,simple,Shower Hardware/Handles,2015-08-04T05:52:36-07:00,Shower Door Handle - Chrome - Square,,,,,,Square,,Chrome,,,0,,no_selection,,,,,,,,,,Use config,Shower Door Handle - Chrome - Square,,Product Info Column,,,,39.5,0,,,,Shower Door Handle - Chrome - Square,,,,,,no_selection,,,,,Enabled,Taxable Goods,no_selection,,4/13/2015 21:44:03,shower-door-handle-chrome-square,shower-door-handle-chrome-square.html,"Catalog, Search",5,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-HAN-002-ORB,default,Shower Handles,simple,Shower Hardware/Handles,2015-08-04T05:53:22-07:00,Shower Door Handle - Oil Rubbed Bronze - Square,,,,,,Square,,Oil Rubbed Bronze,,,0,,no_selection,,,,,,,,,,Use config,Shower Door Handle - Oil Rubbed Bronze - Square,,Product Info Column,,,,69,0,,,,Shower Door Handle - Oil Rubbed Bronze - Square,,,,,,no_selection,,,,,Enabled,Taxable Goods,no_selection,,4/13/2015 21:44:03,shower-door-handle-oil-rubbed-bronze-square,shower-door-handle-oil-rubbed-bronze-square.html,"Catalog, Search",5,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-HIN-01-BN,default,Shower Hinges,simple,Shower Hardware/Hinges,2015-08-04T05:57:33-07:00,Shower Door Hinge - Brushed Nickel - A to B,,,,,,,,Brushed Nickel,,,0,Glass to Glass,no_selection,,,,,,,,,,Use config,Shower Door Hinge - Brushed Nickel - A to B,,Product Info Column,,,,49.5,0,,,,Shower Door Hinge - Brushed Nickel - A to B,,,,,,no_selection,,,,,Enabled,Taxable Goods,no_selection,,4/13/2015 21:44:03,shower-door-hinge-brushed-nickel-a-to-b,shower-door-hinge-brushed-nickel-a-to-b.html,"Catalog, Search",5,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-HIN-01-CH,default,Shower Hinges,simple,Shower Hardware/Hinges,2015-04-08T05:57:42-07:00,Shower Door Hinge - Chrome - A to B,,,,,,,,Chrome,,,0,Glass to Glass,no_selection,,,,,,,,,,Use config,Shower Door Hinge - Chrome - A to B,,Product Info Column,,,,59,0,,,,Shower Door Hinge - Chrome - A to B,,,,,,no_selection,,,,,Enabled,Taxable Goods,no_selection,,4/13/2015 21:44:06,shower-door-hinge-chrome-a-to-b,shower-door-hinge-chrome-a-to-b.html,"Catalog, Search",5,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-HIN-01-ORB,default,Shower Hinges,simple,Shower Hardware/Hinges,2015-08-04T05:58:29-07:00,Shower Door Hinge - Oil Rubbed Bronze - A to B,,,,,,,,Oil Rubbed Bronze,,,0,Glass to Glass,no_selection,,,,,,,,,,Use config,Shower Door Hinge - Oil Rubbed Bronze - A to B,,Product Info Column,,,,79,0,,,,Shower Door Hinge - Oil Rubbed Bronze - A to B,,,,,,no_selection,,,,,Enabled,Taxable Goods,no_selection,,4/13/2015 21:44:06,shower-door-hinge-oil-rubbed-bronze-a-to-b,shower-door-hinge-oil-rubbed-bronze-a-to-b.html,"Catalog, Search",5,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-HIN-02-BN,default,Shower Hinges,simple,Shower Hardware/Hinges,2015-08-04T05:59:50-07:00,Shower Door Hinge - Brushed Nickel - A to Wall,,,,,,,,Brushed Nickel,,,0,Glass to Wall,no_selection,,,,,,,,,,Use config,Shower Door Hinge - Brushed Nickel - A to Wall,,Product Info Column,,,,39.5,0,,,,Shower Door Hinge - Brushed Nickel - A to Wall,,,,,,no_selection,,,,,Enabled,Taxable Goods,no_selection,,4/13/2015 21:44:06,shower-door-hinge-brushed-nickel-a-to-wall,shower-door-hinge-brushed-nickel-a-to-wall.html,"Catalog, Search",5,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO-HIN-02-CH,default,Shower Hinges,simple,Shower Hardware/Hinges,2015-08-04T06:01:06-07:00,Shower Door Hinge - Chrome - A to Wall,,,,,,,,Chrome,,,0,Glass to Wall,no_selection,,,,,,,,,,Use config,Shower Door Hinge - Chrome - A to Wall,,Product Info Column,,,,44.9,0,,,,Shower Door Hinge - Chrome - A to Wall,,,,,,no_selection,,,,,Enabled,Taxable Goods,no_selection,,4/13/2015 21:44:06,shower-door-hinge-chrome-a-to-wall,shower-door-hinge-chrome-a-to-wall.html,"Catalog, Search",5,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
