sku,sku_type,name,status,categories,attribute_set,price,short_description,stone,slab_min_width,slab_max_width,slab_min_depth,slab_max_depth,thickness,has_remnant,remnant_min_width,remnant_max_width,remnant_min_depth,remnant_max_depth,stock_type,lead_time,min_fee,stone_tier,price lookup,price_group,color,veins,splash_thickness,splash_max_width,splash_material,edge_thicknesses,edge_min_width,edge_min_depth,sink_material,min_width_single,min_width_double,min_depth_sink,sink_type,sink_width,sink_depth,tax_class_id,store,type,visibility,is_in_stock,weight,price_type,has_options,us_skus,re_skus,image,small_image,thumbnail,media_gallery,video
GRA-IMP-2CM-SLAB,1,Imperial White Granite Slab in 2 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,4.38,Imperial White Granite,Granite,20,120,15,22,2 cm,,,,,,In Stock Stone,1 Week,,1,1-2 cm,$,light,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-IMP-2CM-SP,,,,,,
GRA-MIN-2CM-SLAB,1,Mint Brown Granite Slab in 2 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,4.38,Mint Brown Granite,Granite,20,120,15,22,2 cm,,,,,,In Stock Stone,1 Week,,1,1-2 cm,$,dark,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-MIN-2CM-SP,,,,,,
GRA-NEW-3CM-SLAB,1,New Caledonia Granite Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,8.69,New Caledonia Granite,Granite,20,120,15,25,3 cm,,,,,,In Stock Stone,,,2,2-3 cm,$$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-NEW-3CM-SP,,,,,,
GRA-RED-2CM-SLAB,1,Red Stream Granite Slab in 2 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,6.19,Red Stream Granite,Granite,20,120,15,22,2 cm,,,,,,In Stock Stone,1 Week,,2,2-2 cm,$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-RED-2CM-SP,,,,,,
GRA-RUS-2CM-SLAB,1,Rusty Sand Granite Slab in 2 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,4.38,Rusty Sand Granite,Granite,20,120,15,22,2 cm,,,,,,In Stock Stone,1 Week,,1,1-2 cm,$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-RUS-2CM-SP,,,,,,
GRA-STE-3CM-SLAB,1,Steel Black Granite Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,6.19,Steel Black Granite,Granite,20,120,15,25,3 cm,,,,,,In Stock Stone,,,1,1-3 cm,$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-STE-3CM-SP,,,,,,
GRA-TAN-2CM-SLAB,1,Tan Brown Granite Slab in 2 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,6.19,Tan Brown Granite,Granite,20,120,15,22,2 cm,,,,,,In Stock Stone,1 Week,,2,2-2 cm,$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-TAN-2CM-SP,,,,,,
GRA-TIB-3CM-SLAB,1,Titanium Black Granite Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,11.19,Titanium Black Granite,Granite,20,120,15,25,3 cm,,,,,,In Stock Stone,,,3,3-3 cm,$$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-TIB-3CM-SP,,,,,,
GRA-UBA-3CM-SLAB,1,Uba Tuba Granite Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,8.69,Uba Tuba Granite,Granite,20,120,15,25,3 cm,,,,,,In Stock Stone,,,2,2-3 cm,$$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-UBA-3CM-SP,,,,,,
GRA-WHI-2CM-SLAB,1,White Tiger Granite Slab in 2 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,4.38,White Tiger Granite,Granite,20,120,15,22,2 cm,,,,,,In Stock Stone,1 Week,,1,1-2 cm,$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-WHI-2CM-SP,,,,,,
GRA-WHI-3CM-SLAB,1,White Tiger Granite Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,6.19,White Tiger Granite,Granite,20,120,15,25,3 cm,,,,,,In Stock Stone,,,1,1-3 cm,$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-WHI-3CM-SP,,,,,,
GRA-WHI-3CM-SLAB,1,White Ice Granite Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,8.69,White Ice Granite,Granite,20,120,15,25,3 cm,,,,,,In Stock Stone,,,2,2-3 cm,$$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-WHI-3CM-SP,,,,,,
MAR-ARA-3CM-SLAB,1,Arabescus Marble Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,11.19,Arabescus Marble,Marble,20,120,15,25,3 cm,,,,,,In Stock Stone,,,3,3-3 cm,$$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MAR-ARA-3CM-SP,,,,,,
MAR-CAL-3CM-SLAB,1,Calcatta Marble Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,23.69,Calcatta Marble,Marble,20,120,15,25,3 cm,,,,,,In Stock Stone,,,7,7-3 cm,$$$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MAR-CAL-3CM-SP,,,,,,
MAR-EGY-2CM-SLAB,1,Egyptian Marble Slab in 2 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,6.88,Egyptian Marble,Marble,20,120,15,22,2 cm,,,,,,In Stock Stone,1 Week,,3,3-2 cm,$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MAR-EGY-2CM-SP,,,,,,
MAR-WHI-2CM-SLAB,1,White Marble Slab in 2 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,6.88,White Marble,Marble,20,120,15,22,2 cm,,,,,,In Stock Stone,1 Week,,3,3-2 cm,$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MAR-WHI-2CM-SP,,,,,,
MSI-ALP-3CM-SLAB,1,Alpine MSI Quartz Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,8.69,Alpine MSI Quartz,MSI Quartz,20,120,15,25,3 cm,,,,,,In Stock Stone,,,2,2-3 cm,$$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MSI-ALP-3CM-SP,,,,,,
MSI-ARC-3CM-SLAB,1,Arctic White MSI Quartz Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,8.69,Arctic White MSI Quartz,MSI Quartz,20,120,15,25,3 cm,,,,,,In Stock Stone,,,2,2-3 cm,$$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MSI-ARC-3CM-SP,,,,,,
MSI-BOL-3CM-SLAB,1,Boletus MSI Quartz Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,13.69,Boletus MSI Quartz,MSI Quartz,20,120,15,25,3 cm,,,,,,In Stock Stone,,,4,4-3 cm,$$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MSI-BOL-3CM-SP,,,,,,
MSI-CAN-3CM-SLAB,1,Canvas MSI Quartz Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,8.69,Canvas MSI Quartz,MSI Quartz,20,120,15,25,3 cm,,,,,,In Stock Stone,,,2,2-3 cm,$$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MSI-CAN-3CM-SP,,,,,,
MSI-CAS-3CM-SLAB,1,Cascade White MSI Quartz Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,13.69,Cascade White MSI Quartz,MSI Quartz,20,120,15,25,3 cm,,,,,,In Stock Stone,,,4,4-3 cm,$$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MSI-CAS-3CM-SP,,,,,,
MSI-CAS-3CM-SLAB,1,Cashmere Carrara MSI Quartz Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,13.69,Cashmere Carrara MSI Quartz,MSI Quartz,20,120,15,25,3 cm,,,,,,In Stock Stone,,,4,4-3 cm,$$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MSI-CAS-3CM-SP,,,,,,
MSI-CON-3CM-SLAB,1,Concerto MSI Quartz Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,11.19,Concerto MSI Quartz,MSI Quartz,20,120,15,25,3 cm,,,,,,In Stock Stone,,,3,3-3 cm,$$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MSI-CON-3CM-SP,,,,,,
MSI-LAG-3CM-SLAB,1,Lagos Azul MSI Quartz Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,8.69,Lagos Azul MSI Quartz,MSI Quartz,20,120,15,25,3 cm,,,,,,In Stock Stone,,,2,2-3 cm,$$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MSI-LAG-3CM-SP,,,,,,
MSI-TOA-3CM-SLAB,1,Toasted Almond MSI Quartz Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,11.19,Toasted Almond MSI Quartz,MSI Quartz,20,120,15,25,3 cm,,,,,,In Stock Stone,,,3,3-3 cm,$$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MSI-TOA-3CM-SP,,,,,,
TRA-MOC-2CM-SLAB,1,Mocha Travertine Slab in 2 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,6.19,Mocha Travertine,Travertine,20,120,15,22,2 cm,,,,,,In Stock Stone,1 Week,,2,2-2 cm,$,,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,TRA-MOC-2CM-SP,,,,,,
