sku,sku_type,name,status,categories,attribute_set,price,short_description,stone,slab_min_width,slab_max_width,slab_min_depth,slab_max_depth,thickness,has_remnant,remnant_min_width,remnant_max_width,remnant_min_depth,remnant_max_depth,stock_type,lead_time,min_fee,stone_tier,price lookup,price_group,tone,veins,splash_thickness,splash_max_width,edge_thicknesses,edge_min_width,edge_min_depth,sink_material,min_width_single,min_width_double,min_depth_sink,sink_type,sink_width,sink_depth,tax_class_id,store,type,visibility,is_in_stock,weight,price_type,has_options,us_skus,re_skus,image,small_image,thumbnail,media_gallery,video
GRA-TIB-3CM-SP,1,Titanium Black Granite Backsplash in 3 cm,enabled,Vanity Tops/Backsplash,Backsplash,2,Titanium Black Granite,Granite,,,,,3 cm,,,,,,In Stock Stone,,,3,3-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-TIB-3CM-SLAB,,,,,,
GRA-UBA-3CM-SP,1,Uba Tuba Granite Backsplash in 3 cm,enabled,Vanity Tops/Backsplash,Backsplash,1.75,Uba Tuba Granite,Granite,,,,,3 cm,,,,,,In Stock Stone,,,2,2-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-UBA-3CM-SLAB,,,,,,
GRA-WHI-2CM-SP,1,White Tiger Granite Backsplash in 2 cm,enabled,Vanity Tops/Backsplash,Backsplash,1,White Tiger Granite,Granite,,,,,2 cm,,,,,,In Stock Stone,1 Week,,1,1-2 cm,$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-WHI-2CM-SLAB,,,,,,
GRA-WHI-3CM-SP,1,White Tiger Granite Backsplash in 3 cm,enabled,Vanity Tops/Backsplash,Backsplash,1.5,White Tiger Granite,Granite,,,,,3 cm,,,,,,In Stock Stone,,,1,1-3 cm,$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-WHI-3CM-SLAB,,,,,,
GRA-WIC-3CM-SP,1,White Ice Granite Backsplash in 3 cm,enabled,Vanity Tops/Backsplash,Backsplash,1.75,White Ice Granite,Granite,,,,,3 cm,,,,,,In Stock Stone,,,2,2-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-WIC-3CM-SLAB,,,,,,
MAR-ARA-3CM-SP,1,Arabescus Marble Backsplash in 3 cm,enabled,Vanity Tops/Backsplash,Backsplash,2,Arabescus Marble,Marble,,,,,3 cm,,,,,,In Stock Stone,,,3,3-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MAR-ARA-3CM-SLAB,,,,,,
MAR-CAL-3CM-SP,1,Calcatta Marble Backsplash in 3 cm,enabled,Vanity Tops/Backsplash,Backsplash,3.5,Calcatta Marble,Marble,,,,,3 cm,,,,,,In Stock Stone,,,7,7-3 cm,$$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MAR-CAL-3CM-SLAB,,,,,,
MAR-EGY-2CM-SP,1,Egyptian Marble Backsplash in 2 cm,enabled,Vanity Tops/Backsplash,Backsplash,1.75,Egyptian Marble,Marble,,,,,2 cm,,,,,,In Stock Stone,1 Week,,3,3-2 cm,$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MAR-EGY-2CM-SLAB,,,,,,
MAR-WHI-2CM-SP,1,White Marble Backsplash in 2 cm,enabled,Vanity Tops/Backsplash,Backsplash,1.75,White Marble,Marble,,,,,2 cm,,,,,,In Stock Stone,1 Week,,3,3-2 cm,$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MAR-WHI-2CM-SLAB,,,,,,
MSI-ALP-3CM-SP,1,Alpine MSI Quartz Backsplash in 3 cm,enabled,Vanity Tops/Backsplash,Backsplash,1.75,Alpine MSI Quartz,MSI Quartz,,,,,3 cm,,,,,,In Stock Stone,,,2,2-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MSI-ALP-3CM-SLAB,,,,,,
MSI-ARC-3CM-SP,1,Arctic White MSI Quartz Backsplash in 3 cm,enabled,Vanity Tops/Backsplash,Backsplash,1.75,Arctic White MSI Quartz,MSI Quartz,,,,,3 cm,,,,,,In Stock Stone,,,2,2-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MSI-ARC-3CM-SLAB,,,,,,
MSI-BOL-3CM-SP,1,Boletus MSI Quartz Backsplash in 3 cm,enabled,Vanity Tops/Backsplash,Backsplash,2.25,Boletus MSI Quartz,MSI Quartz,,,,,3 cm,,,,,,In Stock Stone,,,4,4-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MSI-BOL-3CM-SLAB,,,,,,
MSI-CAN-3CM-SP,1,Canvas MSI Quartz Backsplash in 3 cm,enabled,Vanity Tops/Backsplash,Backsplash,1.75,Canvas MSI Quartz,MSI Quartz,,,,,3 cm,,,,,,In Stock Stone,,,2,2-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MSI-CAN-3CM-SLAB,,,,,,
MSI-CAC-3CM-SP,1,Cascade White MSI Quartz Backsplash in 3 cm,enabled,Vanity Tops/Backsplash,Backsplash,2.25,Cascade White MSI Quartz,MSI Quartz,,,,,3 cm,,,,,,In Stock Stone,,,4,4-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MSI-CAC-3CM-SLAB,,,,,,
MSI-CAS-3CM-SP,1,Cashmere Carrara MSI Quartz Backsplash in 3 cm,enabled,Vanity Tops/Backsplash,Backsplash,2.25,Cashmere Carrara MSI Quartz,MSI Quartz,,,,,3 cm,,,,,,In Stock Stone,,,4,4-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MSI-CAS-3CM-SLAB,,,,,,
MSI-CON-3CM-SP,1,Concerto MSI Quartz Backsplash in 3 cm,enabled,Vanity Tops/Backsplash,Backsplash,2,Concerto MSI Quartz,MSI Quartz,,,,,3 cm,,,,,,In Stock Stone,,,3,3-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MSI-CON-3CM-SLAB,,,,,,
MSI-LAG-3CM-SP,1,Lagos Azul MSI Quartz Backsplash in 3 cm,enabled,Vanity Tops/Backsplash,Backsplash,1.75,Lagos Azul MSI Quartz,MSI Quartz,,,,,3 cm,,,,,,In Stock Stone,,,2,2-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MSI-LAG-3CM-SLAB,,,,,,
MSI-TOA-3CM-SP,1,Toasted Almond MSI Quartz Backsplash in 3 cm,enabled,Vanity Tops/Backsplash,Backsplash,2,Toasted Almond MSI Quartz,MSI Quartz,,,,,3 cm,,,,,,In Stock Stone,,,3,3-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MSI-TOA-3CM-SLAB,,,,,,
TRA-MOC-2CM-SP,1,Mocha Travertine Backsplash in 2 cm,enabled,Vanity Tops/Backsplash,Backsplash,1.5,Mocha Travertine,Travertine,,,,,2 cm,,,,,,In Stock Stone,1 Week,,2,2-2 cm,$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,TRA-MOC-2CM-SLAB,,,,,,
LAB-ED-BEV,1,Labor - Beveled Edge Polishing (per inch),enabled,Vanity Tops/Edging,Edging,1,Beveled Edge,,,,,,,,,,,,,,,,,,,,,,3 cm,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,,,,,,,
LAB-ED-DEM,1,Labor - Demi Bullnose Edge Polishing (per inch),enabled,Vanity Tops/Edging,Edging,1,Demi Bullnose Edge,,,,,,,,,,,,,,,,,,,,,,3 cm,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,,,,,,,
LAB-ED-EAS,1,Labor - Eased Edge Polishing (per inch),enabled,Vanity Tops/Edging,Edging,-,Eased Edge,,,,,,,,,,,,,,,,,,,,,,"2 cm,3 cm",,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,,,,,,,
LAB-ED-OGE,1,Labor - Ogee Edge Polishing (per inch),enabled,Vanity Tops/Edging,Edging,1,Ogee Edge,,,,,,,,,,,,,,,,,,,,,,3 cm,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,,,,,,,
LAB-CUT-4,1,Labor - 3 Faucet Holes 4 Inch (faucet sold separately),enabled,Sinks & Faucets/Faucets,Faucets,30,3 Faucet Holes 4 In. spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxable Goods,default,virtual,"Catalog, Search",1,,1,0,,,,,,,
LAB-CUT-8,1,Labor - 3 Faucet Holes 8 Inch (faucet sold separately),enabled,Sinks & Faucets/Faucets,Faucets,30,3 Faucet Holes 8 In. spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxable Goods,default,virtual,"Catalog, Search",1,,1,0,,,,,,,
LAB-CUT-S,1,Labor - Single Faucet Hole (faucet sold separately),enabled,Sinks & Faucets/Faucets,Faucets,10,Single Faucet Hole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxable Goods,default,virtual,"Catalog, Search",1,,1,0,,,,,,,
BEA-SIN-OL,1,Bear Large Oval Porcelain Sink,enabled,Sinks & Faucets/Sinks,Sinks,137.5,Large Oval Porcelain Sink,,,,,,,,,,,,,,,,,,,,,,,,,Porcelain,26.25,52.5,21,undermount,18.25,12.5,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,,,,,,,
BEA-SIN-OS,1,Bear Small Oval Porcelain Sink,enabled,Sinks & Faucets/Sinks,Sinks,137.5,Small Oval Porcelain Sink,,,,,,,,,,,,,,,,,,,,,,,,,Porcelain,22,44,21,undermount,14,10.88,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,,,,,,,
BEA-SIN-RL,1,Bear Large Rectangle Porcelain Sink,enabled,Sinks & Faucets/Sinks,Sinks,137.5,Large Rectangle Porcelain Sink,,,,,,,,,,,,,,,,,,,,,,,,,Porcelain,25.25,50.5,21,undermount,17.25,12.25,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,,,,,,,
BEA-SIN-RS,1,Bear Small Rectangle Porcelain Sink,enabled,Sinks & Faucets/Sinks,Sinks,137.5,Small Rectangle Porcelain Sink,,,,,,,,,,,,,,,,,,,,,,,,,Porcelain,23.75,47.5,21,undermount,15.75,11,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,,,,,,,
LAB-CUT-VDC,1,Labor - Vessel Drain Hole- Custom Size,enabled,Sinks & Faucets/Sinks,Sinks,55,Vessel Drain Hole- Custom Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,0,,,,,,,
LAB-CUT-VDS,1,Labor - Vessel Drain Hole- Standard Size,enabled,Sinks & Faucets/Sinks,Sinks,35,Vessel Drain Hole- Standard Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,0,,,,,,,
GRA-BIA-3CM-SLAB,1,Bianco Antique Granite Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,11.19,Bianco Antique Granite,Granite,20,120,15,25,3 cm,,,,,,In Stock Stone,,,3,3-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-BIA-3CM-SP,,,,,,
GRA-BID-3CM-SLAB,1,Bianco Delicatus Granite Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,11.19,Bianco Delicatus Granite,Granite,20,120,15,25,3 cm,,,,,,In Stock Stone,,,3,3-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-BID-3CM-SP,,,,,,
GRA-BIR-2CM-SLAB,1,Bianco Romano Granite Slab in 2 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,6.19,Bianco Romano Granite,Granite,20,120,15,22,2 cm,,,,,,In Stock Stone,1 Week,,2,2-2 cm,$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-BIR-2CM-SP,,,,,,
GRA-BLA-2CM-SLAB,1,Black Galaxy Granite Slab in 2 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,6.19,Black Galaxy Granite,Granite,20,120,15,22,2 cm,,,,,,In Stock Stone,1 Week,,2,2-2 cm,$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-BLA-2CM-SP,,,,,,
GRA-BOR-3CM-SLAB,1,Bordeaux River Granite Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,11.19,Bordeaux River Granite,Granite,20,120,15,25,3 cm,,,,,,In Stock Stone,,,3,3-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-BOR-3CM-SP,,,,,,
GRA-CHO-3CM-SLAB,1,Choco Yellow Granite Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,11.19,Choco Yellow Granite,Granite,20,120,15,25,3 cm,,,,,,In Stock Stone,,,3,3-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-CHO-3CM-SP,,,,,,
GRA-COL-3CM-SLAB,1,Colonial Gold Granite Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,8.69,Colonial Gold Granite,Granite,20,120,15,25,3 cm,,,,,,In Stock Stone,,,2,2-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-COL-3CM-SP,,,,,,
GRA-DEE-2CM-SLAB,1,Deep Blue Pearl Granite Slab in 2 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,6.88,Deep Blue Pearl Granite,Granite,20,120,15,22,2 cm,,,,,,In Stock Stone,1 Week,,3,3-2 cm,$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-DEE-2CM-SP,,,,,,
GRA-DEE-3CM-SLAB,1,Deep Blue Pearl Granite Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,8.69,Deep Blue Pearl Granite,Granite,20,120,15,25,3 cm,,,,,,In Stock Stone,,,2,2-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-DEE-3CM-SP,,,,,,
GRA-GIA-3CM-SLAB,1,Giallo Ornamental Granite Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,8.69,Giallo Ornamental Granite,Granite,20,120,15,25,3 cm,,,,,,In Stock Stone,,,2,2-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-GIA-3CM-SP,,,,,,
GRA-IMP-2CM-SLAB,1,Imperial White Granite Slab in 2 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,4.38,Imperial White Granite,Granite,20,120,15,22,2 cm,,,,,,In Stock Stone,1 Week,,1,1-2 cm,$,light,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-IMP-2CM-SP,,,,,,
GRA-MIN-2CM-SLAB,1,Mint Brown Granite Slab in 2 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,4.38,Mint Brown Granite,Granite,20,120,15,22,2 cm,,,,,,In Stock Stone,1 Week,,1,1-2 cm,$,dark,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-MIN-2CM-SP,,,,,,
GRA-NEW-3CM-SLAB,1,New Caledonia Granite Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,8.69,New Caledonia Granite,Granite,20,120,15,25,3 cm,,,,,,In Stock Stone,,,2,2-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-NEW-3CM-SP,,,,,,
GRA-RED-2CM-SLAB,1,Red Stream Granite Slab in 2 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,6.19,Red Stream Granite,Granite,20,120,15,22,2 cm,,,,,,In Stock Stone,1 Week,,2,2-2 cm,$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-RED-2CM-SP,,,,,,
GRA-RUS-2CM-SLAB,1,Rusty Sand Granite Slab in 2 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,4.38,Rusty Sand Granite,Granite,20,120,15,22,2 cm,,,,,,In Stock Stone,1 Week,,1,1-2 cm,$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-RUS-2CM-SP,,,,,,
GRA-STE-3CM-SLAB,1,Steel Black Granite Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,6.19,Steel Black Granite,Granite,20,120,15,25,3 cm,,,,,,In Stock Stone,,,1,1-3 cm,$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-STE-3CM-SP,,,,,,
GRA-TAN-2CM-SLAB,1,Tan Brown Granite Slab in 2 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,6.19,Tan Brown Granite,Granite,20,120,15,22,2 cm,,,,,,In Stock Stone,1 Week,,2,2-2 cm,$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-TAN-2CM-SP,,,,,,
GRA-TIB-3CM-SLAB,1,Titanium Black Granite Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,11.19,Titanium Black Granite,Granite,20,120,15,25,3 cm,,,,,,In Stock Stone,,,3,3-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-TIB-3CM-SP,,,,,,
GRA-UBA-3CM-SLAB,1,Uba Tuba Granite Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,8.69,Uba Tuba Granite,Granite,20,120,15,25,3 cm,,,,,,In Stock Stone,,,2,2-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-UBA-3CM-SP,,,,,,
GRA-WHI-2CM-SLAB,1,White Tiger Granite Slab in 2 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,4.38,White Tiger Granite,Granite,20,120,15,22,2 cm,,,,,,In Stock Stone,1 Week,,1,1-2 cm,$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-WHI-2CM-SP,,,,,,
GRA-WHI-3CM-SLAB,1,White Tiger Granite Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,6.19,White Tiger Granite,Granite,20,120,15,25,3 cm,,,,,,In Stock Stone,,,1,1-3 cm,$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-WHI-3CM-SP,,,,,,
GRA-WIC-3CM-SLAB,1,White Ice Granite Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,8.69,White Ice Granite,Granite,20,120,15,25,3 cm,,,,,,In Stock Stone,,,2,2-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,GRA-WIC-3CM-SP,,,,,,
MAR-ARA-3CM-SLAB,1,Arabescus Marble Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,11.19,Arabescus Marble,Marble,20,120,15,25,3 cm,,,,,,In Stock Stone,,,3,3-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MAR-ARA-3CM-SP,,,,,,
MAR-CAL-3CM-SLAB,1,Calcatta Marble Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,23.69,Calcatta Marble,Marble,20,120,15,25,3 cm,,,,,,In Stock Stone,,,7,7-3 cm,$$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MAR-CAL-3CM-SP,,,,,,
MAR-EGY-2CM-SLAB,1,Egyptian Marble Slab in 2 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,6.88,Egyptian Marble,Marble,20,120,15,22,2 cm,,,,,,In Stock Stone,1 Week,,3,3-2 cm,$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MAR-EGY-2CM-SP,,,,,,
MAR-WHI-2CM-SLAB,1,White Marble Slab in 2 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,6.88,White Marble,Marble,20,120,15,22,2 cm,,,,,,In Stock Stone,1 Week,,3,3-2 cm,$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MAR-WHI-2CM-SP,,,,,,
